Date,Location Key,City,State/Region,Country,Timezone,Geoname ID,Special Events,Special Event Details,Note,Snapshot Source
2026-08-09,geoname:1262180|city:nagpur,Nagpur,Maharashtra,India,Asia/Kolkata,1262180,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:14:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 05:51 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1262321|city:mysuru,Mysuru,Karnataka,India,Asia/Kolkata,1262321,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:35:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:11 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1262321|city:t_narasipura,T Narasipura,Karnataka,India,Asia/Kolkata,1262321,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:35:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:11 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1263780|city:mangalore,Mangalore,Karnataka,India,Asia/Kolkata,1263780,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:42:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:18 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1264521|city:madurai,Madurai,Tamil Nadu,India,Asia/Kolkata,1264521,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:32:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:08 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1264527|city:chennai,Chennai,Tamil Nadu,India,Asia/Kolkata,1264527,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:20:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 05:56 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1264733|city:lucknow,Lucknow,Uttar Pradesh,India,Asia/Kolkata,1264733,Kamika Ekadashi,"AruNodaya: 9 August 2026, 03:59:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 05:35 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1265683|city:kumbakonam,Kumbakonam,Tamil Nadu,India,Asia/Kolkata,1265683,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:26:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:02 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1266285|city:kolhapur,Kolhapur,Maharashtra,India,Asia/Kolkata,1266285,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:39:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:16 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1268159|city:kanchipuram,Kanchipuram,Tamil Nadu,India,Asia/Kolkata,1268159,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:22:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 05:58 AM to 08:00 AM",,2026-08-09_IST.txt
